Country,Relative_Score,SIGMA_Index
us,4.3092,100.0
peru,1.9503,41.59
colombia,1.8728,39.68
japan,1.7306,36.16
indonesia,1.7093,35.63
china,1.5238,31.04
bangladesh,1.3662,27.14
vietnam,1.3135,25.83
india,1.2753,24.88
taiwan,1.1756,22.41
uk,1.0878,20.24
thailand,1.0835,20.13
philippines,1.0834,20.13
pakistan,0.9482,16.78
kenya,0.9041,15.69
south_korea,0.7793,12.6
new_zealand,0.7763,12.53
turkey,0.7044,10.75
france,0.6894,10.38
iran,0.6848,10.26
australia,0.6683,9.85
south_africa,0.6622,9.7
ethiopia,0.615,8.54
argentina,0.586,7.82
brazil,0.522,6.23
italy,0.5161,6.09
canada,0.4424,4.26
spain,0.4249,3.83
chile,0.4211,3.73
mexico,0.3794,2.7
nigeria,0.3466,1.89
greece,0.2726,0.06
germany,0.2703,0.0
