Country,Log_Lambda,SIGMA_Index
us,8.3521,100
peru,2.019,100
colombia,1.923,94.56
china,1.5997,76.23
indonesia,1.5645,74.24
vietnam,1.5138,71.36
uk,1.381,63.84
japan,1.3618,62.75
taiwan,1.3256,60.69
bangladesh,1.2655,57.29
thailand,1.1353,49.91
india,1.0266,43.74
philippines,0.9706,40.57
pakistan,0.9165,37.5
south_korea,0.8298,32.58
turkey,0.7666,29.0
new_zealand,0.7234,26.55
kenya,0.723,26.53
france,0.661,23.02
canada,0.627,21.09
iran,0.6187,20.62
south_africa,0.5949,19.27
australia,0.5928,19.15
argentina,0.4928,13.48
brazil,0.4648,11.89
italy,0.387,7.48
ethiopia,0.381,7.14
greece,0.3419,4.93
nigeria,0.3365,4.62
chile,0.3226,3.83
spain,0.3176,3.55
germany,0.2624,0.42
mexico,0.255,0
