Country,Region,Region_Weight,SIGMA_Index
us,na,1.0,100.0
peru,sa_am,1.4,31.13
colombia,sa_am,1.4,29.67
china,sea,1.6,27.91
indonesia,sea,1.6,26.51
vietnam,sea,1.6,24.41
taiwan,sea,1.6,22.69
japan,sea,1.6,22.68
bangladesh,sa,1.5,20.68
thailand,sea,1.6,19.1
india,sa,1.5,16.31
philippines,sea,1.6,15.57
pakistan,sa,1.5,14.04
south_korea,sea,1.6,13.34
new_zealand,sa_am,1.4,9.99
kenya,af,1.3,9.66
iran,sa,1.5,9.13
uk,eu,0.7,8.84
australia,sa_am,1.4,8.34
south_africa,af,1.3,8.13
brazil,sa_am,1.4,6.01
argentina,sa_am,1.4,5.81
turkey,eu,0.7,4.11
france,eu,0.7,3.96
canada,na,1.0,3.71
ethiopia,af,1.3,3.46
nigeria,af,1.3,2.97
chile,sa_am,1.4,2.76
italy,eu,0.7,1.12
mexico,na,1.0,0.94
greece,eu,0.7,0.81
spain,eu,0.7,0.35
germany,eu,0.7,0.0
