Country,Raw_Log,Factor,Hazard_Count,SIGMA_Index
us,8.7242,1.0,3,100
peru,2.0302,1.3,3,29.4
colombia,1.941,1.3,3,28.06
indonesia,1.5301,1.5,5,25.41
bangladesh,1.2996,1.6,2,22.91
vietnam,1.4176,1.4,6,21.81
china,1.6044,1.1,3,19.26
japan,1.3255,1.3,4,18.77
taiwan,1.3262,1.2,2,17.25
philippines,0.9459,1.5,4,15.24
india,1.0511,1.2,4,13.42
thailand,1.1341,1.1,2,13.26
pakistan,0.9217,1.2,3,11.61
turkey,0.7634,1.1,3,8.52
south_korea,0.8269,1.0,2,8.38
uk,1.3407,0.6,2,8.12
new_zealand,0.7405,0.9,4,6.51
iran,0.642,1.0,4,6.23
kenya,0.7757,0.7,2,5.08
france,0.745,0.7,3,4.83
australia,0.6402,0.8,3,4.72
south_africa,0.6756,0.6,3,3.49
canada,0.5002,0.7,3,2.85
brazil,0.4978,0.7,4,2.82
italy,0.3996,0.8,4,2.49
mexico,0.2638,1.2,3,2.45
argentina,0.4859,0.6,4,2.16
chile,0.2997,0.8,4,1.56
ethiopia,0.3688,0.6,2,1.35
greece,0.3614,0.6,2,1.3
spain,0.3047,0.7,3,1.26
nigeria,0.3365,0.5,1,0.73
germany,0.2624,0.4,1,0
