Country,Raw_Lambda,SIGMA_Risk_Index,WRI_2026,Absolute_Dev
new_zealand,17.05,100.0,17.05,82.95
bangladesh,59.31,96.05816187693176,59.31,36.74816187693176
taiwan,11.95,74.42832049831016,11.95,62.478320498310154
uk,55.32,69.0198036392962,5.0,64.0198036392962
japan,69.86,52.35616212153925,21.0,31.35616212153925
peru,45.55,42.392150031011546,32.0,10.392150031011546
colombia,51.26,34.92533377586886,39.26,4.334666224131141
vietnam,38.15,33.379108514953984,24.95,8.429108514953985
philippines,28.23,25.18165450513746,46.82,21.63834549486254
chile,15.55,24.712392653920475,22.0,2.7123926539204746
canada,34.04,23.31037539843473,12.0,11.31037539843473
france,29.33,21.8298513707129,29.33,7.5001486292871
kenya,20.66,16.67850151777701,28.0,11.321498482222989
south_korea,6.13,15.116259829423297,6.13,8.986259829423297
italy,13.67,14.886887011250522,13.67,1.2168870112505221
argentina,22.88,14.268736499702731,18.0,3.7312635002972687
spain,14.42,13.147778737496063,14.42,1.2722212625039369
australia,13.24,12.98221009178734,15.0,2.0177899082126594
pakistan,38.5,12.605253268345354,38.5,25.894746731654646
indonesia,61.64,11.891993333924997,39.8,27.908006666075
ethiopia,26.06,9.697225030750275,26.06,16.362774969249724
iran,22.64,8.906735692638032,21.0,12.093264307361968
us,83.33,7.671376605043899,23.12,15.448623394956101
thailand,9.79,6.883144878564821,9.79,2.9068551214351785
south_africa,10.99,6.02771561627137,16.0,9.972284383728631
turkey,8.82,4.3802338218950725,25.0,20.61976617810493
greece,1.19,4.219731976651971,1.19,3.0297319766519712
india,55.21,3.770150402782503,40.73,36.95984959721749
mexico,12.25,3.118567452730447,38.96,35.841432547269555
germany,1.6,0.6954514102556366,1.6,0.9045485897443635
brazil,8.51,0.5271628937729688,17.5,16.972837106227033
china,19.27,0.04748220429240947,16.5,16.45251779570759
nigeria,2.13,0.0,31.0,31.0
